,Athlete Name,Athlete Province,Athlete or Coach,Athlete Sport,Athlete Age,Athlete Height,Athlete Weight,Athletes Clubs or Teams,Athletes Coaches Name,Athletes Team Position,Athletes Previous Games,Athletes Previous Games,Athletes Goals,Athletes Personal Best,Athletes Awards,Athletes Role Model,Athletes Media or Social Media Information,Events Participated In,Athletes Number of Gold Medals,Athletes Number of Silver Medals,Athletes Number of Bronze Medals,Athletes Placements
1050,Cassie Jensen,Yukon,Athlete,Judo,15,167,57,Shiroumakai,Aaron Jensen,,,,,,,,,,0,0,0,0
1051,Riley Alexander Jerrett,Newfoundland and Labrador,Athlete,Figure Skating,17,181cm,75kg,Seaport Skaters SC,Kara Watkins & Lindsay Hillier,,,,To have a clean skate,,,,To learn to skate,,0,0,0,0
1052,Sofija Jewell,Yukon,Athlete,Archery,15,,,,Warren Kapaniuk,,,,"In the Yukon there isn't a lot of competition for me other than my friends from the group. During the games I'd love to be able to shoot my best and maybe even make it in medal standings! But even if I don't, I know I would've done the best I could and I know I'd be really proud of myself for doing so!",,,,I got into archery through friends who had been shooting with this club already and offered if I wanted to try!,,0,0,0,0
1053,Derek Jezewsky,British Columbia,Athlete,Wheelchair Basketball,22,185.5,63,National Team Academy,Mike Frogley,,,,To play at my best that I have ever played at and leave it all on the court.,,2018 BC-CWBL Most Improved Player,Bo Hedges,I’m not sure what really drew me to it. I found I really enjoyed it because it got me out of the house and then I realized for me I loved the fact of getting to travel and meet others and hearing others stories about others injuries and just enjoying pushing myself to be a better player and person. Now giving back to others that are just beginning the sport and showing them what’s possible in life and what you can do even after a set back in life!,,0,0,0,0
1054,Colin Jia,Ontario,Athlete,Badminton,16,175,68,Lee's Badminton,Jennifer Lee,,,,"My goals for the games are for Team Ontario to win the team event, and for individual event, to place at least in the semi-finals if not the finals","My personal best results are finishing second place at the 2018 Junior Pan Am games in Sao Paolo, Brazil, for both singles and doubles. For mixed, my best result is finishing first at the National Championships in Haber, Ontario","-Pan Am Silver (Singles and Doubles)
-National Championships Gold (Doubles and Mixed Doubles)","My personal role model is Pharrell Williams. He is successful in everything he puts his mind to, including producing music and creating a highly successful staple in the Adidas footwear line.","When I was 5 years old, I saw my dad playing badminton, and the moment I saw them playing, I knew I wanted to play.",,0,0,1,1
1055,Daniel Jiang,Alberta,Athlete,Table Tennis,13,166,58.5,,,,,,,,,,,,0,0,1,1
1056,Kenny Kun Jiang,British Columbia,Athlete,Table Tennis,16,177,143,,,,,,"My goal for the games is to win in the following categories: Boy's Singles, Boy's Doubles, and Boy's Team.",,,"My personal role model is Tomokazu Harimoto because of how excellent of a player he is for his age. He proves that with hard work, anything can be accomplished.","I watched my family play the sport at a very young age. But, I became interested in the sport while watching the table tennis event in the 2008 Summer Olympics. Shortly after, I enrolled in a few classes and loved the sport ever since.",,0,1,1,2
1057,Liam Frederick Jinks,Prince Edward Island,Athlete,Squash,16,,,,,,,,,,"Placed 5th at nationals in 2015 and 2017 and youngest player in the Maritimes to reach the Men's A level. Recently won the Squash PEI superleague beating the top adult male players, and he represented PEI at Men's Teams last winter and the team placed 7th.",,,,0,0,0,0
1058,Hannah Jirousek,Yukon,Athlete,Cross Country Skiing,18,168,58.0,Yukon Ski Team,Alain Masson,,,,Ski fast and have fun!,AWG 2nd,2018 Most Improved Female Skier,,,,0,0,0,0
1059,Nina Jobst-Smith,British Columbia,Athlete,Hockey,17,170,65,ECDC Memmingen,Jan Benda,Defense,,,My main goal for the games is to finish with the highest possible placement of any BC hockey team prior. I would also like to take advantage of the amazing opportunity by supporting all other teams and individuals from my province alongside my teammates; my aim is to watch as many competitions possible during my time in Red Deer.,"My personal best result was earning the BC FMAAA championship back-to-back alongside my teammates with the Greater Vancouver Comets. However, another memorable experience was playing unofficial games with the German Women's National Team as they took on team Switzerland last fall.","Honor Roll Distinction (2015-2018)
Outstanding Scholastic Achievement (2017)
FMAAA Allstar (2017-2018 Season)
Team Canada Top 40 Development Invitation (2018)
MVP Regional Championship Game 3 (2018)
MVP Windsor Secondary School Rugby (2017, 2018)
Highest Scoring Defense BC FMAAA (2017, 2018)
Team Canada Top 40 Development Camp Invitation (2018)",Micah Hart,"When I was younger, I had really weak ankles and could only walk on the insides of my feet. The specialist suggested I try skating, so when I turned 6, my mom put me into hockey. I fell in love with the game, and have been playing ever since.",,0,0,1,1
1060,Kaitlin Jockims,Saskatchewan,Athlete,Hockey,17,178cm,68kg,Saskatoon stars,Greg Slobodzian,Forward,kaitlinjockims,kaitlinjockims,To perform well and win a medal for my province.,"My team has won our league, regionals and been to nationals many times.",,My dad,I tried almost every sport when I was young including hockey and loved it.,,0,0,0,0
1061,Maximus Joe,British Columbia,Athlete,Judo,16,166,50,Moscrop Secondary School,Maximus Joe,,,,To have no regrets,Elite 8,,Father,Got bored of karate,,0,1,0,1
1062,Kendra John,Newfoundland and Labrador,Athlete,Hockey,17,5’6,160,,,,,,,,,,,,0,0,0,0
1063,Beth Johnson,Manitoba,Athlete,Wheelchair Basketball,17,159,54,Team Manitoba,Jarrett Yaworski,,N/A,N/A,"Help my team to develop and push themselves to reach their own goals.
Improve my read and react style of play.",Bronze at CWBL Woemn’s Nationals,N/A,Melanie Hawtin,"My physiotherapist and phys ed teacher jointly introduced me, although neither knew the other was trying to get me into wheelchair basketball.",,0,0,0,0
1064,Ivan Johnson,Yukon,Athlete,Squash,15,,,,,,,,,,,,,,0,0,0,0
1065,Justin Johnson,British Columbia,Athlete,Alpine Skiing,27,,,,,,,,,,,,,,0,0,0,0
1066,Kyra Johnson,Quebec,Athlete,Curling,15,,,Pointe-Claire Curling Club,Neil Gargul,Third,,,,,,,,,0,0,0,0
1067,Madison Johnson,Saskatchewan,Athlete,Curling,17,173.99,,Holy Cross High School,,,MadiMjohnson4,MadiMjohnson4,"My goal for the games is to be the best athlete I can be. I would like to bring the gold medal home for Saskatchewan, but I would also like to bring home lots of new friendships and amazing new experiences.",My personal best result in my event is winning silver at the 2018 U18 National Championships,"I have received the 2018 Elite Twelve's #1 Athlete award in Saskatoon, I have also received Curlsask's 2018-2019 Junior Provincial Joyce McKee's sportsmanship award.","My personal role model is Joanne Courtney (2nd on Team Rachel Homan). She has taught me to follow my dreams and work to be the hardest athlete I can be, while having fun on the journey.","My Great-Grandpa was heavily evolved in curling and has competed in many elite events winning the 1968 Senior Mens Championships, which let my grandparents enrol me in Learn to Curl, which quickly evolved into my goal to compete in the Canada Winter Games.",,0,0,0,0
1068,Rannon Johnson,Yukon,Athlete,Squash,12,,,,,,,,,,,,,,0,0,0,0
1069,Sierra Johnson,Ontario,Athlete,Speed Skating,20,172.6,,Calgary Olympic Oval Program - Stage 3 & Milton Speed Skating,Jeff Kirtua,,,,"To take in all the experiences of a multi-sport event and learn from my peers, on and off the ice.","500m- 41.50
1000m- 1:23.24
1500m- 2:10.38
3000m- 4:35.35","Spirit of Inclusion: Best Buddies Canada Award 2018
Business High School Certificate 2017
High School inclusion Awards 2014-2017
Community Service of Oakville Award 2016
Female Skater of the year 2015
Oakville Sports Hall of Fame Scholarship 2016
President of Best Buddies Loyola Chapter 2013- 2017","My parents are my biggest role models, Hal Johnson and Joanne McLeod. Through BodyBreak, they show Canadians how to live healthy, active lifestyles and in turn they have shown me.
They are always teaching me new things, inspiring me to dream big and to never leave any stone unturned. At a young age, my parents instilled in me that you can achieve great things if you push through the hard times with a strong worth ethic. Both my parents are former Team Canada athletes. My dad represented Canada in baseball and my mom ran 100m/400m hurdles. They're my best role models.","Watched the Sochi 2014 Olympics and my dad thought I would be a fast skater on speed skates after playing hockey for 9 years and reaching AA. In September 2014, I started skating short track then made the transition into long track December 2014, where I found my true passion.",,0,0,0,0
1070,Bailey Johnston,Northwest Territories,Athlete,Archery,15,,,,,,,,,,,,,,0,0,0,0
1071,David Johnston,Ontario,Athlete,Gymnastics,18,180,72,Manjak's,Kenneth Robertson,Head Trampoline Coach,n/a,n/a,Land 30 skills and place for my province to help our team score.,1st place at 2016 Canadian National Championships.,Member of the Canadian Junior National Team 2017-18 and 2018-19.,My sisters Laura and Kelly because they inspire me to be a better person.,I was an artistic gymnast and transferred to trampoline.,,0,0,2,2
1072,Maggie Johnston,Prince Edward Island,Athlete,Hockey,17,167,,Ridley College,Amanda Work,Goalie,maggiejohnst0n1,maggiejohnst0n1,,,"top goalie at Atlantic championship (2017)
Hockey PEI player of the year (2017)",,,,0,0,0,0
1073,Nicholas Alan Johnston,Prince Edward Island,Athlete,Curling,18,178,67,Cornwall Curling Club,Lori Robinson,3rd,,,My goal is to make the playoffs (top 6 teams). I want to play my best and push my limits as a curler.,Under-18 Provincial Champion - 2017 and 2018,"Fair Play Award - 2018 Provincial Under-18s
Scored an 8-Ender - 2015","Lori Robinson, my coach and aunt.","My family first introduced me to the sport of curling. Many of my relatives are curlers, and this inspired me to take part. My first opportunity to curl was with a school program while I was in elementary school.",,0,0,0,0
1074,Parker Johnston,Ontario,Athlete,Freestyle Skiing,17,5.7,150,Ontario Mogul Team,David Belhumeur,Head Coach,,,"Do my best, this will be my first competition since my surgeries over the last 6 months on my knee. Would really like to win the competition, and as least place top 3",1st place at Canadian Series,"Honours Role at School, Athletic award in Grade 8.",Mikael ingsbury,Family has been skiing since I was a child,,0,0,0,0
1075,Westley Johnston,New Brunswick,Athlete,Wheelchair Basketball,23,189,80,PEI Mustangs,,Foreward,,,To push my teammates to the best of their abilities and achieve a podium position.,4th,,"Lebron James, Parents","Was no longer able to play stand up basketball, asked around about other sports I could play and discovered wheelchair basketball.",,0,0,0,0
1076,Emily Johnstone,New Brunswick,Athlete,Artistic Swimming,18,158,52,Fredericton Synchro Club,Emily McKim,,@_emilyjohnstone,@_emilyjohnstone,My teams goal for the games is to achieve a score of 70 or higher and to place in the top 5,The highest score I've ever gotten was a 72.7667 in the Senior Open Combo category at nationals in 2017,"Club Awards:
Senior Open Combo 2016 - Most Improved
National Stream 2018 - Sportsmanship Award",,"My grandfather noted that as much as I adored being in the water, I didn't show much interest in swimming laps and had the idea of signing me up for synchro",,0,0,0,0
1077,Aliya Jomha,Alberta,Athlete,Hockey,16,166 cm,70 kg,Northern Alberta Xtreme Female Prep,Cassea Schols,Forward,,,"My goals for the games is to be a positive and encouraging teammate on and off the ice. It is also to learn as much as possible while competing against the best female ice hockey players in Canada, and to see Team Alberta win gold.",,"CSSHL Freshman of the Year nomination
2017 Alberta Challenge Cup Team Captain and All-Star
2016 Alberta Female Bantam AAA All-star
Team Alberta U16 Program 2016 and 2017","My personal role model is Clara Hughes as she has broken barriers and redefined what it means to be an elite female athlete. She not only has won medals in two different events in the Olympics, but has also used her platform to be an advocate for mental health and has been a voice within the humanitarian organization ""Right to Play"" , where they use sport to encourage youth within disadvantaged areas. She is a perfect example of being a leader not only in sport, but within day to day life.","I started playing hockey for fun at outdoor rinks with my dad and younger brother, but I truly fell in love with the game while watching the 2010 Women's Olympic Team win Gold. I started playing organized hockey with the boys at age eight, and still have the same passion for it as when I was just learning to skate.",,1,0,0,1
1078,Maya Jonas,British Columbia,Athlete,Cross Country Skiing,56,152,44,,Jessica Heyes and Jamie Stirling,,,,,,,,,,0,1,2,3
1079,Jeremy Jones,Newfoundland and Labrador,Athlete,Cross Country Skiing,21,152cm,49kg,,Luke Dunphy,,,,To beat my personal best and place top 3.,,,My parents.,THIRD Canada Games and 2 sport athlete attending week 1 as well for Wheelchair Basketball.,,0,0,0,0
1080,Jeremy Jones,Newfoundland and Labrador,Athlete,Wheelchair Basketball,21,152,45,,Todd Hickey,,,,,,,,,,0,0,0,0
1081,Amy Jaye Jorgensen,Saskatchewan,Athlete,Gymnastics,12,138,43,Marian Gymnastics,Chris Baraniuk,Team Sask Member,,,I would like to get a personal best and to contribute helpful scores to my team.,My personal best all around is a 35.516 at the Marian Classic Meet. My personal best score is a 9.300 on beam.,"I have won many medals in Canada, Portugal, and the US. Although some of my favourites would be 1st place on beam in Vegas, 1st place floor in Portugal, and 8th on beam at Elite Canada.",My personal role model is either Simone Biles or Ellie Black.,"I got involved in gymnastics when I was 3. My mom wanted me to be a dancer who could do some gymnastics tricks, but gym took over. I found myself to be much better at gymnastics and decided to continue gym.",,0,0,0,0
1082,Maxwell Joy,Nunavut,Athlete,Hockey,15,,,,,,,,,,,,,,0,0,0,0
1083,Tanner (TJ) Jung,British Columbia,Athlete,Wheelchair Basketball,18,173,75,Team BC,Simon Cass,,,,"1) To motivate my teammates to achieve both mentally and physically each players personal best.
2) Achieve and overcome my personal bests as a player, a person and a teammate.
3) To embrace the moment, create a memory and take time to have a little fun.",,"2016- Jr Athlete of the Year
2017-2018- MJ Boudreault True Sport Award",Terry Fox- his determination and will to do good inspired me.,"I did not know wheelchair basketball was available for my age until my physical therapist answered my moms question about getting involved in a sport. Prior to that, I was accepted on the elementary school basketball team using my regular day chair but didn’t feel like I fit in so after one season that faded out.
I attended a drop in session in our community and I loved it and I've been playing ever since.",,0,0,0,0
1084,Sawer Kaeser,Northwest Territories,Athlete,Curling,16,"5'6""",50 kg,Fort Smith Curling and Winter Sports Club,Nick Kaeser,Skip,,,To reach the podium,Silver Arctic Winter Games,Sportsmanship Award for Arctic Winter Games,Both of my grandpas,"My parents are both curlers, I would go down with my dad, starting about age 4 and hang out the ice with him.",,0,0,0,0
1085,Chris Kaji,Ontario,Athlete,Gymnastics,19,155,56,Manjack's,Ference Szabo,,,,"To support and guide Team Ontario; to form connections with different individuals across the nation; to stay present and fully enjoy the experience of the games, always learning and
improving on myself.","Claiming the rings national champion title at both Elite Canada and Canadian Nationals, as well as having the privilege to represent Canada on multiple different occasions.",,Long time close friend and teammate Devy Dyson (New Zealand National Gymnastics Member),"My sister Clair Kaji
-Former High Performance Gymnast
-BC Team, 2015 CWG (Women's Gymnastics)
-Current NCAA athlete (University of Iowa Women's Gymnastics)",,2,1,0,3
1086,Kyshton Kalai,Nunavut,Athlete,Table Tennis,18,163,57,Coral Harbour Table Tennis,Alyssa Whitney,,,,"I want to make new friends, and I also want to compete against people from other provinces. I want to proudly represent my territory and my community.",I was proud of my performance at the 2018 territorials in the singles category. It was my final year to qualify and my hard work paid off.,"I haven't won any awards yet, but I hope that I will in the future.",Atilla Csaba (the president of Nunavut Table Tennis) is my hero. I love learning from him. He's the best!,I started playing in 2015. The SST at my school (Mac) introduced me to table tennis.,,0,0,0,0
1087,Qas Kaludjak,Nunavut,Athlete,Hockey,15,180,68,Pilot Mound Buffaloes,Rick McConnell,Center,,,,,,,,,0,0,0,0
1088,Kiera Kam,British Columbia,Athlete,Figure Skating,14,155,,Vancouver Ice Dance Academy,Megan Wing and Aaron Lowe,Novice ice dancer,kiera_sk8,kiera_sk8,To put on an entertaining performance for our audience and to surpass our personal best score we achieved at the 2019 Canadian Nationals.,2nd at the 2019 Canadian Tire National Skating Championships. We achieved our personal best score of 105.39.,"-Selected to represent Canada at an international competition (Bavarian Open) in Advance Novice Ice Dance (February 2019)
-2018 BC/YK Section Youth Promise Award
-Team BC in ice dance (pre-novice and novice) in 2017 & 2018
-2018 NextGen Development Camp (September 2018)",My mom is my role model.,I started learning to skate when I was 4 years old and I really enjoyed it. I started competing in freeskate when I was 7 years old. My freeskate coach Marlena Mitchell introduced me to Aaron and Megan when I was 9 and was partnered with Mathew when I was 11.,,1,0,0,1
1089,Mohamed Kamal,Alberta,Athlete,Squash,15,,,,Jonathan Hill,4,,,"I'm hoping to get the best out of it, by performing my best and meeting other players in my sport and many other sports, most of all have a good time.",,,,,,0,0,1,1
1090,Kimiko Kamstra,British Columbia,Athlete,Judo,18,155,45,N/A,Bruce Kamstra,,,,,,,,,,0,2,0,2
1091,Molly Kane,New Brunswick,Athlete,Figure Skating,21,160,53,Bathurst Figure Skating Club,Mario Richard,,,,"Skate my best, have fun and meet friends",Gold medals,,Janie McGraw (world champion Special Olympics figure skater from New Brunswick),"I was watching my little brother in CanSkate, and there were also some figure skaters on the ice and I said ""I want to try that"".",,0,0,1,1
1092,Drew Robson Kanigan,British Columbia,Athlete,Gymnastics,16,160cm,50kg,Kamloops Gymnastics Trampoline Centre,Mr. H. Takahashi,Head coach for MAG,,,I would like to place top 3 in two of my events.,I have scored a 12.7 on pommel at the National level and a 12.8 on parallel bars at the National level.,Canadian National Team 2 times. Kyle Shewfelt Award,Scott Nabatta - He was a national team member for many years. I trained along side him and he helped coach me.,I began in Grade 1 as a recreational gymnast and quickly realized I loved it and had some natural talent for the sport.,,0,0,0,0
1093,Miklos Kanyasi,Nova Scotia,Athlete,Badminton,20,183,160,,Gary Macdougall,,,,win,,,,,,0,0,0,0
1094,Wyatt Kapaniuk,Yukon,Athlete,Archery,14,,,YASC Archery Acadamy,"Warren Kapaniuk, Sarah Waltz",,,,"My goals for these games are to experience a large nataonal
tournament and to experience a match-play tournament.","My best result in an event would be coming in 1st in the BC
Provincials, shooting above the BC record in my category which
also set a new Yukon record that I still hold.","I was selected as one of Air North's GOAL athletes,
I received funding from Sport Yukon,
I received funding From Archery Canada for finishing first
in Yukon Championships.","My personal role model is Hugh MacDonald. He has
been up to the Yukon a number of times over the course of the 2018
indoor season to provide intensive coaching. He has helped me
develop as an athlete both physically and mentally.","It was sheer curiosity. I tried a class a couple years ago and
have not stopped since. Since then, I have moved from recreation
to competitive archery.",,0,0,0,0
1095,Kondelia Karas,Alberta,Athlete,Judo,15,162,52,Kodokwai,,,,,To medal in my division.,3rd in U18 at Canada Cup.,Stephanie Kerr award.,Daria Bilodid because she is the youngest female to ever win worlds.,My dad does Judo and he started me when I was 5 years old and I loved it.,,1,1,0,2
1096,Rosemary Karn,Newfoundland and Labrador,Athlete,Speed Skating,17,164,62,,Brian Bonnell,,,,,,,,,,0,0,0,0
1097,O'keri Katjivari,Manitoba,Athlete,Gymnastics,15,,,,,,,,,,,,,,0,0,0,0
1098,Aden Kavanaugh,Nova Scotia,Athlete,Curling,16,177,59,Prince Andrew golf and curling team,Brian Mackintosh,Lead,@KavanaughAden,@KavanaughAden,"Half fun, meet new friends, and try and bring home a medal",,,Brad Gushue,When I was 3 years old I was waiting for my second open heart surgery but I was so tired all I could do was watch tv. At the time the only thing to watch was curling at the 2006 Olympics where Brad Gushue won the gold medal. I told my parents I wanted to try curling and I’ve played ever since.,,0,0,0,0
1099,Céline Kavanaugh,New Brunswick,Athlete,Cross Country Skiing,17,158,50,Kahoutek,,,,,Place on the Podium,Silver,"APSA Trust Fund Committee Bursary 2014 et 2015
CESPA Bursary
APSEA Sports Bursary 2018
Most Outstanding Accomplishment Outside of School Award (Prix Thomas) 2018",My mother,,,0,2,1,3
1100,Mike Kavik Kavik,Nunavut,Athlete,Badminton,17,,,Paatsaali Badminton Club,,,,,,,,,,,0,0,0,0
1101,Alexsi Kavvadas,Manitoba,Athlete,Ringette,16,5'7,147,AA Angels,Spiros kavvadas and Lynn Girardin,Centre,@alexsikavvadas,@alexsikavvadas,"enjoy every moment, make memories but most importantly work hard and leave it on the ice. Connect with my team on and off the ice. Bring home the gold.",First line allstar 2018 Canadian Ringette Championships u16 division,"National gold medal, four provincial gold medals, one western gold medal","My dad is my role model, my mom is my number one supporter. wouldn't be where I am today without them.",Went to a come try ringette skate with a friend and loved it ever since. I have been playing for 10 years and my dad has been my coach for the majority of my ringette career,,0,0,1,1
1102,Emily Kay,New Brunswick,Athlete,Speed Skating,14,165,56,Saint John Amateur Speed Skating Club; St Croix Blades,Miriam Veschoor; Sarah Groom,,,,As many personal bests (time) as possible. Possibly getting on the podium with the relay team.,,,Courtney Sarault,,,0,0,0,0
1103,Ethan Kean,Newfoundland and Labrador,Athlete,Judo,16,173,65.8,Sosei Judo,Chris Wellon,,,,,,,,,,0,0,0,0
1104,Nessa Keays,Saskatchewan,Athlete,Judo,15,160,~87,Prince Albert Kenshukan,Michael Horley,,,,,,,,,,0,0,1,1
1105,Hilary Keedwell,Prince Edward Island,Athlete,Alpine Skiing,15,170,,PEI Alpine Ski Club,Jordan Mol,,,,To represent my province to the best of my ability,"2nd Place Ski Cross
1st place slalom",,Dad,My parents and friends,,0,0,0,0
1106,Grant Keefe,Nova Scotia,Athlete,Alpine Skiing,15,190.5 cm,77 kg,Wentworth Ski Racing Club,Sarah Byrne,,,,,,"2018 U16 Alpine NS Male Skiier of Year
2017 Rising Stars Athlete Alpine Canada
2017 U14 Alpine NS Male Skiier of Year",,,,0,0,0,0
1107,Lilly Keefe,Prince Edward Island,Athlete,Judo,13,,,Rikidokan Judo Club,Kent Hardy,Athlete (-48kg),,,Represent my province and perform my best.,,John Wilbert Award,Ronda Rousey and John Wilbert,,,0,0,0,0
1108,Elysia Kehrig,Saskatchewan,Athlete,Judo,17,,,,,,,,,,,,,,0,0,0,0
1109,Brooklyn Keller,British Columbia,Athlete,Ringette,19,165,72.7,TORL Club team,Kelly Taylor,Defense,,,To bring home Gold medal in Canadian Winter Games,"Westerns Gold Medal
Several Provincial Gold Medals
BC Winter Games Gold Medal",,,Our good family friends had told us about Ringette. I was hooked instantly.,,0,0,0,0
1110,Emma Kelly,Ontario,Athlete,Ringette,16,153,61,,Carrie Hartley,Forward,@kellyyyemma,@kellyyyemma,To experience and play in such a high level competition and to meet new people from across the country,In the 2018 Canadian Ringette championships I recieved first line all star. My biggest accomplishment is making this team and representing my province at a national level.,"First Line all star, 4 articles in newspapers, 2017 and 2018 team were recognized at the Ottawa sports awards",Simone biles,"I was introduced to the sport of ringette by my best friend at the age of 4, ever since I’ve been hooked to the game and always strive to improve.",,0,1,0,1
1111,Emma Kelly,Nova Scotia,Athlete,Ringette,19,170,,Acadia Ringette,Tracey Tulloch,Centre,emmakelly444,emmakelly444,Medal at the games!,,,,,,0,0,0,0
1112,Liam Kelly,Prince Edward Island,Athlete,Curling,15,,,,,2nd,,,,,,Annika Kelly,My parents,,0,0,0,0
1113,Nicole Kelly,Ontario,Athlete,Hockey,18,165,74,Etobicoke Jr Dolphins,Joe Butkevich,Forward,nakelly88,nakelly88,"To make new memories and friends, enjoy the experience. Play to the best of my abilities and make other around me better and have lots of fun, bring home gold!",Gold medal at the World Championship 2019,"2015 Grade 9 female athlete award
2016 Esso Cup Top Forward award
2016 Esso Cup Top scorer award
2016 Esso Cup tournament MVP
2017 Team Ontario Silver Medal at the National championship
2017 Top Forward award at the National Championship
2019 Gold Medal at the IIHF U18 World Championship",natalie spooner,I played several sports growing up till I realized that I loved hockey and it was/is the one that I wanted to continue playing,,0,0,0,0
1114,Alex Kennedy,Newfoundland and Labrador,Athlete,Wheelchair Basketball,19,186,64,,"Todd Hickey, Raeleen Baggs",Forward,AlexKennedy1999,AlexKennedy1999,"To be able to represent my country the best I can, and show what Newfoundland can do on the national stage.",,,My parents. They've shown me the importance of hard work and never giving up.,"After a major injury playing standup basketball, I decided to give wheelchair basketball a try. I've now been playing for six years, and I've loved it ever since!",,0,0,0,0
1115,Bree Kennedy,Alberta,Athlete,Hockey,17,157,59,Edge School Female Prep,Carla MacLeod,Forward,BreeKennedy10,BreeKennedy10,Win a gold medal at the Canada Winter Games!,,"Most Valuable Player AMBFHL All-Star Game
Most Valuable Player Rocky Mountain Raiders
Rookie of the year nomination CSSHL Female Prep",My mom,"When I was 2 I joined figure skating, but soon found out that ""Blades of Glory"" wasn't my thing. After joining a learn-to-skate program at the age 3 I learned that hockey was my thing and is what I would grow to love.",,1,0,0,1
1116,Connor Keough,Prince Edward Island,Athlete,Hockey,16,177,175,Notre Dame,Mike Merriman,Forward,connorkeough19,connorkeough19,Enjoy the experience,,"2016 - League Most Goals
2016 - Rookie of the Year",Matthew Tkachuk,Introduced by Mom and Dad,,0,0,0,0
1117,Jesse Kertesz-Knight,Alberta,Athlete,Alpine Skiing,15,5 '11,145 lbs,Jasper Ski Team,Brent Schleppe / Jim Tracy from Bar,In Baseball- 3 rd base!,NA,NA,To enjoy the Games with my friends and hopefully place top 5!,Slalom first,,Sam Wall and Marcel Hirscher,I started skiing with my parents and grand-parents and I started racing to be with my ski friends!,,0,0,0,0
1118,Vail Ketsa,Alberta,Athlete,Ringette,16,177,,St.Albert U19AA Mission,,Forward,,,"Be a team player, enjoy every minute, and help my team bring home a Gold medal.",,,,"I used to hate skating, but one day I saw some girls playing at a local rink and instantly fell in love with the sport. My mom enrolled me the next year and I haven't stopped loving it since.",,0,0,0,0
1119,Ali Keylor,Alberta,Athlete,Ringette,18,165,58,,,Defence,,,"Have fun, learn more about other sports, work hard, and hopefully come home with the gold!",Attending the Canadian Ringette Championships four times and placing fifth twice. As well as being voted captain for the past two years on my U19 AA club team.,,"I don't have a singular role model, the people that inspire me the most are my teammates. My teammates motivate me to work hard and play my best.",When I was five my dad signed me and my younger sister up and we have been playing ever since. I am now in my last year of U19 and my sister and I are finally able to play together and are lucky enough to have our dad as the head coach.,,0,0,0,0
1120,Jad Khabbaz,Quebec,Athlete,Boxing,16,178,60,,,,,,de me démarquer en tant qu’athlète,,,,,,0,0,0,0
1121,Robin Khairallah,Nova Scotia,Athlete,Judo,14,166,U60,Halifax Judo Academy,Bill Anderson,,,,I want to go to the games to have a great experience with my judo team.,,,,,,0,0,0,0
1122,Madeleine Alexandra Khan,Nova Scotia,Athlete,Squash,15,175,,,Janet MacLeod,,,,"To play the best I can, meet new people, and learn about a new place.",,,I look up to all my teammates. I can learn something from all of them.,"I started playing when I was young because my dad played. I started getting really motivated when I learned what Canada Games was, and that’s when I started playing as much as I could and began working towards my goal.",,0,0,0,0
1123,RILEY KIDNEY,Nova Scotia,Athlete,Hockey,15,180.34,72,COLE HARBOUR WOLFPACK,ANDRE LEFEBVRE,CENTRE,,,REPRESENT NOVA SCOTIA AS A HOCKEY LEADER IN CANADA. WORK HARD EVERY SHIFT AND HELP MY LINEMATES AND TEAM PRODUCE.,HOCKEY NOVA SCOTIA WINNING GOLD,"2019 - ICE JAM TOURNAMENT - FIRST ALL STAR TEAM
2018 - NOVA SCOTIA MAJOR BANTAM LEAGUE AWARD - ALL STAR TEAM
2018 - NOVA SCOTIA MAJOR BANTAM PROVINCIALS - TOURNAMENT MVP
2017 - NOVA SCOTIA MAJOR BANTAM LEAGUE AWARD - ROOKIE ALL STAR",,I LEARNED TO SKATE AT AGE 3 WITH MY BROTHER; AT AGE 4 I STARTED TO PLAY HOCKEY AND EVER SINCE IT HAS BECOME A FAMILY SPORT.,,0,0,0,0
1124,Megan Kilabuk,Nunavut,Athlete,Badminton,16,,,,,,,,,,,,,,0,0,0,0
1125,Michael Kilonzo,Ontario,Athlete,Wheelchair Basketball,21,165,64,"CWBL: Southern Ontario Rockets, NWBA: Toronto Rollin' Raptors","CWBL - Kathy Ludwig, NWBA - Matteo Feriani",Class 3.5,,,Have Team Ontario finish with gold at these games,,MVP - 2018 CWBL National Championships,,"Was always into watching stand-up basketball and one day decided to try wheelchair basketball, so looked up my local club and found Coach Kathy Ludwig (also Team Ontario coach) and I never looked back.

Currently training at the National Academy in Toronto, ON where national team memberss and up and coming national team members train in an environment in aspiration to get to the podium on the international stage.",,0,1,0,1
1126,Daniel Kim,New Brunswick,Athlete,Badminton,18,,,,,,,,,,,,,,0,0,0,0
1127,John Kim,Ontario,Athlete,Figure Skating,12,149,38,Canadian Ice Academy,Andrew Evans & Paul Parkisons,N/A,N/A,N/A,My goals for the games is to do my best and make my family proud.,My personal best result is 107.00.,N/A,My personal role model is Yuzuru Hanyu.,I got involved in figure skating because of my older sister.,,1,0,0,1
1128,Siyoon Kim,Nova Scotia,Athlete,Archery,16,155,45,,Bruce Graves,,,,,,,,,,0,0,0,0
